,index,University,University Latitude,University Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
27,27,Universidad de Medios Audiovisuales (CAAV),20.671252779478372,-103.3703334073802,Fondo de Cultura Económica,20.673034669522487,-103.3686800833258,Bookstore
28,28,Universidad de Medios Audiovisuales (CAAV),20.671252779478372,-103.3703334073802,Gonvill,20.673904286757608,-103.36872144146353,Bookstore
29,29,Universidad de Medios Audiovisuales (CAAV),20.671252779478372,-103.3703334073802,Tarots Del Mundo,20.674595936415912,-103.37017677719209,Bookstore
30,30,Universidad de Medios Audiovisuales (CAAV),20.671252779478372,-103.3703334073802,Librerías Gonvill,20.67380317651551,-103.36875148047629,Bookstore
31,31,Universidad de Medios Audiovisuales (CAAV),20.671252779478372,-103.3703334073802,Librería de viejo,20.670206835429763,-103.36857472972508,Bookstore
32,32,Universidad de Medios Audiovisuales (CAAV),20.671252779478372,-103.3703334073802,El Crisol de la Psicologia,20.673680285861032,-103.36974805828991,Bookstore
33,33,infierno,20.67120781649323,-103.37021062348266,Gandhi,20.673539115427836,-103.37106988941142,Bookstore
34,34,infierno,20.67120781649323,-103.37021062348266,Fondo de Cultura Económica,20.673034669522487,-103.3686800833258,Bookstore
35,35,infierno,20.67120781649323,-103.37021062348266,Gonvill,20.673904286757608,-103.36872144146353,Bookstore
36,36,infierno,20.67120781649323,-103.37021062348266,Tarots Del Mundo,20.674595936415912,-103.37017677719209,Bookstore
37,37,infierno,20.67120781649323,-103.37021062348266,Librerías Gonvill,20.67380317651551,-103.36875148047629,Bookstore
38,38,infierno,20.67120781649323,-103.37021062348266,Librería de viejo,20.670206835429763,-103.36857472972508,Bookstore
39,39,infierno,20.67120781649323,-103.37021062348266,El Crisol de la Psicologia,20.673680285861032,-103.36974805828991,Bookstore
40,40,Escuela patagonica gastronomica,20.673034327478305,-103.3646430296326,Fondo de Cultura Económica,20.673034669522487,-103.3686800833258,Bookstore
41,41,Escuela patagonica gastronomica,20.673034327478305,-103.3646430296326,Gonvill,20.673904286757608,-103.36872144146353,Bookstore
42,42,Escuela patagonica gastronomica,20.673034327478305,-103.3646430296326,Librerías Gonvill,20.67380317651551,-103.36875148047629,Bookstore
43,43,PATAGONICA escuela de alta cocina internacional,20.672845498345087,-103.36460633126796,Fondo de Cultura Económica,20.673034669522487,-103.3686800833258,Bookstore
44,44,PATAGONICA escuela de alta cocina internacional,20.672845498345087,-103.36460633126796,Gonvill,20.673904286757608,-103.36872144146353,Bookstore
45,45,PATAGONICA escuela de alta cocina internacional,20.672845498345087,-103.36460633126796,Librerías Gonvill,20.67380317651551,-103.36875148047629,Bookstore
46,46,DELEM,20.69381714840882,-103.34984806477507,Librería Porrúa,20.693841954366903,-103.34948709591634,Bookstore
47,47,DELEM,20.69381714840882,-103.34984806477507,El Kiosko,20.693693,-103.349529,Bookstore
48,48,DELEM,20.69381714840882,-103.34984806477507,Sistecopy,20.69515140991347,-103.34951529657151,Bookstore
49,49,Centro Universitario de Ciencias Sociales y Humanidades (CUCSH),20.693682294720535,-103.34979730346734,Librería Porrúa,20.693841954366903,-103.34948709591634,Bookstore
50,50,Centro Universitario de Ciencias Sociales y Humanidades (CUCSH),20.693682294720535,-103.34979730346734,El Kiosko,20.693693,-103.349529,Bookstore
51,51,Centro Universitario de Ciencias Sociales y Humanidades (CUCSH),20.693682294720535,-103.34979730346734,Sistecopy,20.69515140991347,-103.34951529657151,Bookstore
52,52,Estudios Políticos y Gobierno,20.693743663272052,-103.35061187827608,Librería Porrúa,20.693841954366903,-103.34948709591634,Bookstore
53,53,Estudios Políticos y Gobierno,20.693743663272052,-103.35061187827608,El Kiosko,20.693693,-103.349529,Bookstore
54,54,Estudios Políticos y Gobierno,20.693743663272052,-103.35061187827608,Sistecopy,20.69515140991347,-103.34951529657151,Bookstore
55,55,Centro interinstiticional de Investigacion Educativa,20.66201218240576,-103.36052531036233,Distribuidora Didaque,20.664242737746502,-103.3604745447918,Bookstore
56,56,Centro interinstiticional de Investigacion Educativa,20.66201218240576,-103.36052531036233,Minerva Libros,20.665222,-103.362144,Bookstore
57,57,Universidad de Medios Audiovisuales (CAAV Godard),20.662424697148293,-103.35946039401414,Distribuidora Didaque,20.664242737746502,-103.3604745447918,Bookstore
58,58,Universidad de Medios Audiovisuales (CAAV Godard),20.662424697148293,-103.35946039401414,Minerva Libros,20.665222,-103.362144,Bookstore
59,59,la maroma . Formación en Circo y Teatro Fisico,20.679109,-103.366332,Editorial Arquitónica,20.677143,-103.364815,Bookstore
60,60,la maroma . Formación en Circo y Teatro Fisico,20.679109,-103.366332,britanica bookstore,20.676754261294302,-103.3680557609227,Bookstore
61,61,la maroma . Formación en Circo y Teatro Fisico,20.679109,-103.366332,Tianguis Paseo Chapultepec,20.677633,-103.368744,Bookstore
62,62,Feria Del Empleo,20.693923,-103.34859,Librería Porrúa,20.693841954366903,-103.34948709591634,Bookstore
63,63,Feria Del Empleo,20.693923,-103.34859,El Kiosko,20.693693,-103.349529,Bookstore
64,64,Feria Del Empleo,20.693923,-103.34859,Sistecopy,20.69515140991347,-103.34951529657151,Bookstore
65,65,Centro Universitario de Ciencias Sociales y Humanidades (CUCSH),20.693682294720535,-103.34979730346734,Librería Porrúa,20.693841954366903,-103.34948709591634,Bookstore
66,66,Centro Universitario de Ciencias Sociales y Humanidades (CUCSH),20.693682294720535,-103.34979730346734,El Kiosko,20.693693,-103.349529,Bookstore
67,67,Centro Universitario de Ciencias Sociales y Humanidades (CUCSH),20.693682294720535,-103.34979730346734,Sistecopy,20.69515140991347,-103.34951529657151,Bookstore
68,68,DELEM,20.69381714840882,-103.34984806477507,Librería Porrúa,20.693841954366903,-103.34948709591634,Bookstore
69,69,DELEM,20.69381714840882,-103.34984806477507,El Kiosko,20.693693,-103.349529,Bookstore
70,70,DELEM,20.69381714840882,-103.34984806477507,Sistecopy,20.69515140991347,-103.34951529657151,Bookstore
71,71,Benemérita y Centenaria Escuela Normal de Jalisco,20.695292415334688,-103.34700546277622,Librería Porrúa,20.693841954366903,-103.34948709591634,Bookstore
72,72,Benemérita y Centenaria Escuela Normal de Jalisco,20.695292415334688,-103.34700546277622,El Kiosko,20.693693,-103.349529,Bookstore
73,73,Benemérita y Centenaria Escuela Normal de Jalisco,20.695292415334688,-103.34700546277622,Sistecopy,20.69515140991347,-103.34951529657151,Bookstore
74,74,Estudios Políticos y Gobierno,20.693743663272052,-103.35061187827608,Librería Porrúa,20.693841954366903,-103.34948709591634,Bookstore
75,75,Estudios Políticos y Gobierno,20.693743663272052,-103.35061187827608,El Kiosko,20.693693,-103.349529,Bookstore
76,76,Estudios Políticos y Gobierno,20.693743663272052,-103.35061187827608,Sistecopy,20.69515140991347,-103.34951529657151,Bookstore
77,77,Universidad Univer,20.68117436612465,-103.33876002094651,Odessa Librería Médica,20.67870896344762,-103.34009662596117,Bookstore
78,78,Universidad Univer,20.68117436612465,-103.33876002094651,Libreria Educal Cultural Cabañas,20.676833,-103.338721,Bookstore
79,79,Universidad de Medios Audiovisuales (CAAV Gance),20.671262153232693,-103.37042557060295,Gandhi,20.673539115427836,-103.37106988941142,Bookstore
80,80,Universidad de Medios Audiovisuales (CAAV Gance),20.671262153232693,-103.37042557060295,Fondo de Cultura Económica,20.673034669522487,-103.3686800833258,Bookstore
81,81,Universidad de Medios Audiovisuales (CAAV Gance),20.671262153232693,-103.37042557060295,Gonvill,20.673904286757608,-103.36872144146353,Bookstore
82,82,Universidad de Medios Audiovisuales (CAAV Gance),20.671262153232693,-103.37042557060295,Tarots Del Mundo,20.674595936415912,-103.37017677719209,Bookstore
83,83,Universidad de Medios Audiovisuales (CAAV Gance),20.671262153232693,-103.37042557060295,Librerías Gonvill,20.67380317651551,-103.36875148047629,Bookstore
84,84,Universidad de Medios Audiovisuales (CAAV Gance),20.671262153232693,-103.37042557060295,Librería de viejo,20.670206835429763,-103.36857472972508,Bookstore
85,85,Universidad de Medios Audiovisuales (CAAV Gance),20.671262153232693,-103.37042557060295,El Crisol de la Psicologia,20.673680285861032,-103.36974805828991,Bookstore
86,86,Universidad de Medios Audiovisuales (CAAV),20.671252779478372,-103.3703334073802,Gandhi,20.673539115427836,-103.37106988941142,Bookstore
87,87,Universidad de Medios Audiovisuales (CAAV),20.671252779478372,-103.3703334073802,Fondo de Cultura Económica,20.673034669522487,-103.3686800833258,Bookstore
88,88,Universidad de Medios Audiovisuales (CAAV),20.671252779478372,-103.3703334073802,Gonvill,20.673904286757608,-103.36872144146353,Bookstore
89,89,Universidad de Medios Audiovisuales (CAAV),20.671252779478372,-103.3703334073802,Tarots Del Mundo,20.674595936415912,-103.37017677719209,Bookstore
90,90,Universidad de Medios Audiovisuales (CAAV),20.671252779478372,-103.3703334073802,Librerías Gonvill,20.67380317651551,-103.36875148047629,Bookstore
91,91,Universidad de Medios Audiovisuales (CAAV),20.671252779478372,-103.3703334073802,Librería de viejo,20.670206835429763,-103.36857472972508,Bookstore
92,92,Universidad de Medios Audiovisuales (CAAV),20.671252779478372,-103.3703334073802,El Crisol de la Psicologia,20.673680285861032,-103.36974805828991,Bookstore
93,93,infierno,20.67120781649323,-103.37021062348266,Gandhi,20.673539115427836,-103.37106988941142,Bookstore
94,94,infierno,20.67120781649323,-103.37021062348266,Fondo de Cultura Económica,20.673034669522487,-103.3686800833258,Bookstore
95,95,infierno,20.67120781649323,-103.37021062348266,Gonvill,20.673904286757608,-103.36872144146353,Bookstore
96,96,infierno,20.67120781649323,-103.37021062348266,Tarots Del Mundo,20.674595936415912,-103.37017677719209,Bookstore
97,97,infierno,20.67120781649323,-103.37021062348266,Librerías Gonvill,20.67380317651551,-103.36875148047629,Bookstore
98,98,infierno,20.67120781649323,-103.37021062348266,Librería de viejo,20.670206835429763,-103.36857472972508,Bookstore
99,99,infierno,20.67120781649323,-103.37021062348266,El Crisol de la Psicologia,20.673680285861032,-103.36974805828991,Bookstore
100,100,Universidad de Medios Audiovisuales (CAAV Gance),20.671262153232693,-103.37042557060295,Gandhi,20.673539115427836,-103.37106988941142,Bookstore
101,101,Universidad de Medios Audiovisuales (CAAV Gance),20.671262153232693,-103.37042557060295,Fondo de Cultura Económica,20.673034669522487,-103.3686800833258,Bookstore
102,102,Universidad de Medios Audiovisuales (CAAV Gance),20.671262153232693,-103.37042557060295,Gonvill,20.673904286757608,-103.36872144146353,Bookstore
103,103,Universidad de Medios Audiovisuales (CAAV Gance),20.671262153232693,-103.37042557060295,Tarots Del Mundo,20.674595936415912,-103.37017677719209,Bookstore
104,104,Universidad de Medios Audiovisuales (CAAV Gance),20.671262153232693,-103.37042557060295,Librerías Gonvill,20.67380317651551,-103.36875148047629,Bookstore
105,105,Universidad de Medios Audiovisuales (CAAV Gance),20.671262153232693,-103.37042557060295,Librería de viejo,20.670206835429763,-103.36857472972508,Bookstore
106,106,Universidad de Medios Audiovisuales (CAAV Gance),20.671262153232693,-103.37042557060295,El Crisol de la Psicologia,20.673680285861032,-103.36974805828991,Bookstore
107,107,Universidad de Medios Audiovisuales (CAAV Greenaway),20.67118607410076,-103.36971752083578,Fondo de Cultura Económica,20.673034669522487,-103.3686800833258,Bookstore
108,108,Universidad de Medios Audiovisuales (CAAV Greenaway),20.67118607410076,-103.36971752083578,Gandhi,20.673539115427836,-103.37106988941142,Bookstore
109,109,Universidad de Medios Audiovisuales (CAAV Greenaway),20.67118607410076,-103.36971752083578,Gonvill,20.673904286757608,-103.36872144146353,Bookstore
110,110,Universidad de Medios Audiovisuales (CAAV Greenaway),20.67118607410076,-103.36971752083578,Tarots Del Mundo,20.674595936415912,-103.37017677719209,Bookstore
111,111,Universidad de Medios Audiovisuales (CAAV Greenaway),20.67118607410076,-103.36971752083578,Librerías Gonvill,20.67380317651551,-103.36875148047629,Bookstore
112,112,Universidad de Medios Audiovisuales (CAAV Greenaway),20.67118607410076,-103.36971752083578,Librería de viejo,20.670206835429763,-103.36857472972508,Bookstore
113,113,Universidad de Medios Audiovisuales (CAAV Greenaway),20.67118607410076,-103.36971752083578,El Crisol de la Psicologia,20.673680285861032,-103.36974805828991,Bookstore
114,114,Universidad de Medios Audiovisuales (CAAV),20.671252779478372,-103.3703334073802,Gandhi,20.673539115427836,-103.37106988941142,Bookstore
115,115,Universidad de Medios Audiovisuales (CAAV),20.671252779478372,-103.3703334073802,Fondo de Cultura Económica,20.673034669522487,-103.3686800833258,Bookstore
116,116,Universidad de Medios Audiovisuales (CAAV),20.671252779478372,-103.3703334073802,Gonvill,20.673904286757608,-103.36872144146353,Bookstore
117,117,Universidad de Medios Audiovisuales (CAAV),20.671252779478372,-103.3703334073802,Tarots Del Mundo,20.674595936415912,-103.37017677719209,Bookstore
118,118,Universidad de Medios Audiovisuales (CAAV),20.671252779478372,-103.3703334073802,Librerías Gonvill,20.67380317651551,-103.36875148047629,Bookstore
119,119,Universidad de Medios Audiovisuales (CAAV),20.671252779478372,-103.3703334073802,Librería de viejo,20.670206835429763,-103.36857472972508,Bookstore
120,120,Universidad de Medios Audiovisuales (CAAV),20.671252779478372,-103.3703334073802,El Crisol de la Psicologia,20.673680285861032,-103.36974805828991,Bookstore
121,121,Universidad Lamar,20.670854972058475,-103.36760054227962,Fondo de Cultura Económica,20.673034669522487,-103.3686800833258,Bookstore
122,122,Universidad Lamar,20.670854972058475,-103.36760054227962,Gandhi,20.673539115427836,-103.37106988941142,Bookstore
123,123,Universidad Lamar,20.670854972058475,-103.36760054227962,Gonvill,20.673904286757608,-103.36872144146353,Bookstore
124,124,Universidad Lamar,20.670854972058475,-103.36760054227962,Tarots Del Mundo,20.674595936415912,-103.37017677719209,Bookstore
125,125,Universidad Lamar,20.670854972058475,-103.36760054227962,Librerías Gonvill,20.67380317651551,-103.36875148047629,Bookstore
126,126,Universidad Lamar,20.670854972058475,-103.36760054227962,Librería de viejo,20.670206835429763,-103.36857472972508,Bookstore
127,127,Universidad Lamar,20.670854972058475,-103.36760054227962,El Crisol de la Psicologia,20.673680285861032,-103.36974805828991,Bookstore
128,128,IFLY Escuela de Vuelo,20.668843037755583,-103.40008507172065,Salud Integral Aquarius,20.670467376708984,-103.39656829833984,Bookstore
129,129,IFLY Escuela de Vuelo,20.668843037755583,-103.40008507172065,Librería El Sótano,20.666186968596747,-103.40307396706892,Bookstore
130,130,Colegio N Inglaterra,20.6734707049388,-103.39773627215612,Puesto de Revistas,20.675327,-103.398607,Bookstore
131,131,Colegio N Inglaterra,20.6734707049388,-103.39773627215612,Salud Integral Aquarius,20.670467376708984,-103.39656829833984,Bookstore
132,132,Instituto de Especialización para Ejecutivos,20.66306,-103.38484,Gandi,20.66343790408858,-103.38463560231713,Bookstore
133,133,Universidad Virtual de Estudios Superiores,20.662310574996315,-103.38705026732589,Gandi,20.66343790408858,-103.38463560231713,Bookstore
134,134,Universidad Virtual de Estudios Superiores,20.662310574996315,-103.38705026732589,Gonvill Librerias,20.659745906719444,-103.38949318750687,Bookstore
135,135,Colegio Gastronómico Internacional CGI,20.675616239352667,-103.37625779540704,Mar De Tinta,20.67548,-103.372594,Bookstore
136,136,Colegio Gastronómico Internacional CGI,20.675616239352667,-103.37625779540704,Kiosko de periódicos,20.67736959840341,-103.37310263420135,Bookstore
137,137,Instituto Gastrnomico Corbuse,20.67406613425445,-103.37866775697863,Palíndromo,20.670520162364184,-103.37611938653109,Bookstore
138,138,Univer Mar Egeo,20.70333716429442,-103.36941314250294,Occidente World Book,20.703792408020657,-103.36512296674977,Bookstore
139,139,cdm,20.69670099670815,-103.38677946149977,Editorial GEU,20.693131478541645,-103.38642402972465,Bookstore
140,140,Uteg,20.68883702237341,-103.34785146862751,Libreria La Decima letra,20.68775700616147,-103.34810972213745,Bookstore
141,141,Uteg,20.68883702237341,-103.34785146862751,Libros Usados Arista,20.6860618,-103.3490709,Bookstore
142,142,Uteg,20.68883702237341,-103.34785146862751,Papeleria Hermes,20.6860618,-103.3491066,Bookstore
143,143,Imainarte CIDMI,20.676944732666016,-103.38733673095703,Sanborns,20.67704261283275,-103.38999531776776,Bookstore
144,144,Imainarte CIDMI,20.676944732666016,-103.38733673095703,Super Manga,20.67955325604303,-103.3845058435748,Bookstore
145,145,Centro Internacional de Innovación en Diseño,20.67679561642344,-103.38737728575076,Sanborns,20.67704261283275,-103.38999531776776,Bookstore
146,146,Centro Internacional de Innovación en Diseño,20.67679561642344,-103.38737728575076,Super Manga,20.67955325604303,-103.3845058435748,Bookstore
147,147,Av Talento Formacion Artistica,20.677353542767516,-103.38905311991263,Sanborns,20.67704261283275,-103.38999531776776,Bookstore
148,0,Centro Universitario Azteca,20.675164219178566,-103.3479347877128,Biblioteca Iberoamericana Octavio Paz,20.675639048300315,-103.34820565745245,Library
149,1,Centro Universitario Azteca,20.675164219178566,-103.3479347877128,Biblioteca LARVA,20.674955163474674,-103.34983678448272,Library
150,2,Centro Universitario Azteca,20.675164219178566,-103.3479347877128,Biblioteca J. Álvarez del Castillo,20.676989970986774,-103.34509915024682,Library
151,3,Universidad De Especialidades Plantel Centro (UNE),20.675511328467124,-103.34877490997314,Biblioteca Iberoamericana Octavio Paz,20.675639048300315,-103.34820565745245,Library
152,4,Universidad De Especialidades Plantel Centro (UNE),20.675511328467124,-103.34877490997314,Biblioteca LARVA,20.674955163474674,-103.34983678448272,Library
153,5,Universidad De Especialidades Plantel Centro (UNE),20.675511328467124,-103.34877490997314,Biblioteca J. Álvarez del Castillo,20.676989970986774,-103.34509915024682,Library
154,6,Universidad De La Cienega Centro,20.674938480338028,-103.34752971640694,Biblioteca Iberoamericana Octavio Paz,20.675639048300315,-103.34820565745245,Library
155,7,Universidad De La Cienega Centro,20.674938480338028,-103.34752971640694,Biblioteca LARVA,20.674955163474674,-103.34983678448272,Library
156,8,Universidad De La Cienega Centro,20.674938480338028,-103.34752971640694,Biblioteca J. Álvarez del Castillo,20.676989970986774,-103.34509915024682,Library
157,9,Hard to Find,20.67247986930887,-103.36281542271946,Biblioteca Urbana,20.673399,-103.365824,Library
158,10,Escuela patagonica gastronomica,20.673034327478305,-103.3646430296326,Biblioteca Urbana,20.673399,-103.365824,Library
159,11,PATAGONICA escuela de alta cocina internacional,20.672845498345087,-103.36460633126796,Biblioteca Urbana,20.673399,-103.365824,Library
160,12,DELEM,20.69381714840882,-103.34984806477507,Biblioteca Centro de Información y Comunicación Dr. Manuel Rodríguez Lapuente,20.694428844639905,-103.34931435587757,Library
161,13,DELEM,20.69381714840882,-103.34984806477507,Biblioteca UMF51,20.697715,-103.349291,Library
162,14,Centro Universitario de Ciencias Sociales y Humanidades (CUCSH),20.693682294720535,-103.34979730346734,Biblioteca Centro de Información y Comunicación Dr. Manuel Rodríguez Lapuente,20.694428844639905,-103.34931435587757,Library
163,15,Centro Universitario de Ciencias Sociales y Humanidades (CUCSH),20.693682294720535,-103.34979730346734,Biblioteca UMF51,20.697715,-103.349291,Library
164,16,Estudios Políticos y Gobierno,20.693743663272052,-103.35061187827608,Biblioteca Centro de Información y Comunicación Dr. Manuel Rodríguez Lapuente,20.694428844639905,-103.34931435587757,Library
165,17,Estudios Políticos y Gobierno,20.693743663272052,-103.35061187827608,Biblioteca UMF51,20.697715,-103.349291,Library
166,18,Feria Del Empleo,20.693923,-103.34859,Biblioteca Centro de Información y Comunicación Dr. Manuel Rodríguez Lapuente,20.694428844639905,-103.34931435587757,Library
167,19,Feria Del Empleo,20.693923,-103.34859,Biblioteca UMF51,20.697715,-103.349291,Library
168,20,Centro Universitario de Ciencias Sociales y Humanidades (CUCSH),20.693682294720535,-103.34979730346734,Biblioteca Centro de Información y Comunicación Dr. Manuel Rodríguez Lapuente,20.694428844639905,-103.34931435587757,Library
169,21,Centro Universitario de Ciencias Sociales y Humanidades (CUCSH),20.693682294720535,-103.34979730346734,Biblioteca UMF51,20.697715,-103.349291,Library
170,22,DELEM,20.69381714840882,-103.34984806477507,Biblioteca Centro de Información y Comunicación Dr. Manuel Rodríguez Lapuente,20.694428844639905,-103.34931435587757,Library
171,23,DELEM,20.69381714840882,-103.34984806477507,Biblioteca UMF51,20.697715,-103.349291,Library
172,24,Benemérita y Centenaria Escuela Normal de Jalisco,20.695292415334688,-103.34700546277622,Biblioteca Centro de Información y Comunicación Dr. Manuel Rodríguez Lapuente,20.694428844639905,-103.34931435587757,Library
173,25,Benemérita y Centenaria Escuela Normal de Jalisco,20.695292415334688,-103.34700546277622,Biblioteca UMF51,20.697715,-103.349291,Library
174,26,Estudios Políticos y Gobierno,20.693743663272052,-103.35061187827608,Biblioteca Centro de Información y Comunicación Dr. Manuel Rodríguez Lapuente,20.694428844639905,-103.34931435587757,Library
175,27,Estudios Políticos y Gobierno,20.693743663272052,-103.35061187827608,Biblioteca UMF51,20.697715,-103.349291,Library
176,28,Universidad de Medios Audiovisuales (CAAV Greenaway),20.67118607410076,-103.36971752083578,Biblioteca Urbana,20.673399,-103.365824,Library
177,29,Universidad Lamar,20.670854972058475,-103.36760054227962,Biblioteca Urbana,20.673399,-103.365824,Library
178,30,Proulex Computación,20.677371883184406,-103.37833441943756,LeaLA,20.68075356937337,-103.37649490721252,Library
179,31,Colegio Gastronómico Internacional CGI,20.675616239352667,-103.37625779540704,Hermanos Ceniza,20.675914,-103.373398,Library
180,32,Escuela de Bio-decodificacion,20.681018829345703,-103.37946319580078,LeaLA,20.68075356937337,-103.37649490721252,Library
181,33,Uteg,20.68883702237341,-103.34785146862751,Biblioteca Pública del Ejercito y Fuerza Aérea Mexicana,20.686267732008414,-103.35114965612709,Library
182,34,Uteg,20.68883702237341,-103.34785146862751,Biblioteca Estatal,20.686893740508154,-103.35050232344526,Library
183,0,Centro Universitario Azteca,20.675164219178566,-103.3479347877128,Neufeld,20.673428576841896,-103.34795803543253,Cafeteria
184,1,Centro Universitario Azteca,20.675164219178566,-103.3479347877128,El Arte Cafeteria,20.676882066093945,-103.34570600879104,Café
185,2,Centro Universitario Azteca,20.675164219178566,-103.3479347877128,Cafetería La Fórmula,20.67222432012001,-103.34577254939418,Snack Place
186,3,Universidad De Especialidades Plantel Centro (UNE),20.675511328467124,-103.34877490997314,Neufeld,20.673428576841896,-103.34795803543253,Cafeteria
187,4,Universidad De Especialidades Plantel Centro (UNE),20.675511328467124,-103.34877490997314,El Arte Cafeteria,20.676882066093945,-103.34570600879104,Café
188,5,Universidad De Especialidades Plantel Centro (UNE),20.675511328467124,-103.34877490997314,Cafetería La Fórmula,20.67222432012001,-103.34577254939418,Snack Place
189,6,Universidad De La Cienega Centro,20.674938480338028,-103.34752971640694,Neufeld,20.673428576841896,-103.34795803543253,Cafeteria
190,7,Universidad De La Cienega Centro,20.674938480338028,-103.34752971640694,El Arte Cafeteria,20.676882066093945,-103.34570600879104,Café
191,8,Universidad De La Cienega Centro,20.674938480338028,-103.34752971640694,Cafetería La Fórmula,20.67222432012001,-103.34577254939418,Snack Place
192,9,Universidad de Medios Audiovisuales (CAAV Gance),20.671262153232693,-103.37042557060295,Fitzroy Espresso Bar,20.67404712528525,-103.37071172022846,Coffee Shop
193,10,Universidad de Medios Audiovisuales (CAAV Gance),20.671262153232693,-103.37042557060295,Café Punta del Cielo.,20.672995108652803,-103.3686284385653,Coffee Shop
194,11,Universidad de Medios Audiovisuales (CAAV Gance),20.671262153232693,-103.37042557060295,COPARMEX Jalisco,20.673388161908182,-103.36890507227045,Coworking Space
195,12,Universidad de Medios Audiovisuales (CAAV Gance),20.671262153232693,-103.37042557060295,Cafetería,20.671054659934644,-103.37007602840826,College Cafeteria
196,13,Universidad de Medios Audiovisuales (CAAV),20.671252779478372,-103.3703334073802,Fitzroy Espresso Bar,20.67404712528525,-103.37071172022846,Coffee Shop
197,14,Universidad de Medios Audiovisuales (CAAV),20.671252779478372,-103.3703334073802,Café Punta del Cielo.,20.672995108652803,-103.3686284385653,Coffee Shop
