Código Postal,Estado,Municipio,Ciudad,Tipo de Asentamiento,Asentamiento
44220,Jalisco,Guadalajara,Guadalajara,Colonia,Santa Elena Alcalde Poniente
44220,Jalisco,Guadalajara,Guadalajara,Colonia,Guadalupana Norte
44220,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Simón Bolívar
44227,Jalisco,Guadalajara,Guadalajara,Colonia,Jardines de Atemajac
44230,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Autocinema
44230,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Santa Elena de La Cruz
44230,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Santa Elena Estadio
44230,Jalisco,Guadalajara,Guadalajara,Colonia,División del Norte
44240,Jalisco,Guadalajara,Guadalajara,Conjunto habitacional,Independencia INFONAVIT
44240,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Estadio
44240,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Lomas de Independencia
44240,Jalisco,Guadalajara,Guadalajara,Colonia,Rancho Nuevo 1ra. Sección
44240,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Residencial San Elias
44240,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Ricardo Flores Magón
44240,Jalisco,Guadalajara,Guadalajara,Colonia,Nuevo Sur
44240,Jalisco,Guadalajara,Guadalajara,Colonia,Villas Del Estadio
44240,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Colomos Independencia
44240,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,FOVISSSTE Independencia
44240,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Paseos Independencia
44240,Jalisco,Guadalajara,Guadalajara,Colonia,Rancho Nuevo 2da. Sección
44246,Jalisco,Guadalajara,Guadalajara,Colonia,Estadio Poniente
44247,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Rancho Nuevo INFONAVIT
44249,Jalisco,Guadalajara,Guadalajara,Colonia,El Jaguey
44250,Jalisco,Guadalajara,Guadalajara,Pueblo,Huentitán El Bajo
44250,Jalisco,Guadalajara,Guadalajara,Colonia,Lomas del Paraíso 1a. Sección
44250,Jalisco,Guadalajara,Guadalajara,Colonia,Lomas del Paraíso 3a. Sección
44250,Jalisco,Guadalajara,Guadalajara,Colonia,Lomas del Paraíso 4a. Sección
44250,Jalisco,Guadalajara,Guadalajara,Colonia,Balcones de Huentitán
44250,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Praderas del Paraíso (Rinconadas del Paraíso)
44250,Jalisco,Guadalajara,Guadalajara,Colonia,Lomas del Paraíso 2a. Sección
44250,Jalisco,Guadalajara,Guadalajara,Colonia,Lomas del Paraíso 5a. Sección
44257,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,INFONAVIT Planetario
44257,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,San Antonio
44258,Jalisco,Guadalajara,Guadalajara,Colonia,Colonial Independencia
44259,Jalisco,Guadalajara,Guadalajara,Colonia,Panorámica Huentitán
44259,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Zoológico
44260,Jalisco,Guadalajara,Guadalajara,Barrio,La Normal
44260,Jalisco,Guadalajara,Guadalajara,Colonia,Mezquitan Country
44260,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Miguel Galindo
44260,Jalisco,Guadalajara,Guadalajara,Colonia,Niños Héroes
44260,Jalisco,Guadalajara,Guadalajara,Barrio,San Bernardo
44260,Jalisco,Guadalajara,Guadalajara,Barrio,San Miguel de Mezquitan
44260,Jalisco,Guadalajara,Guadalajara,Colonia,Barrio Mezquitan
44260,Jalisco,Guadalajara,Guadalajara,Colonia,Mezquitan
44265,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Ramón Corona
44266,Jalisco,Guadalajara,Guadalajara,Colonia,Observatorio
44267,Jalisco,Guadalajara,Guadalajara,Condominio,Eugenia
44268,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Fray Antonio Alcalde
44270,Jalisco,Guadalajara,Guadalajara,Colonia,Alcalde Barranquitas
44270,Jalisco,Guadalajara,Guadalajara,Colonia,Colinas de La Normal
44270,Jalisco,Guadalajara,Guadalajara,Colonia,Miraflores
44280,Jalisco,Guadalajara,Guadalajara,Barrio,El Retiro
44290,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Independencia Poniente
44290,Jalisco,Guadalajara,Guadalajara,Colonia,Independencia
44298,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Jardines Alcalde
44299,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Villas de San Juan
44300,Jalisco,Guadalajara,Guadalajara,Colonia,Esperanza
44300,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Jardines de Santa Isabel
44300,Jalisco,Guadalajara,Guadalajara,Colonia,La Federacha
44300,Jalisco,Guadalajara,Guadalajara,Colonia,La Joya
44300,Jalisco,Guadalajara,Guadalajara,Colonia,Margarita Maza de Juárez
44300,Jalisco,Guadalajara,Guadalajara,Colonia,San Miguel de Huentitán El Alto 1a Secc
44300,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Colonia No. 9
44300,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Batallón de San Patricio
44306,Jalisco,Guadalajara,Guadalajara,Colonia,La Cantera
44306,Jalisco,Guadalajara,Guadalajara,Colonia,Bosques de La Cantera
44306,Jalisco,Guadalajara,Guadalajara,Colonia,Villas de la Cantera
44307,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Estadio
44320,Jalisco,Guadalajara,Guadalajara,Colonia,Belisario Domínguez
44320,Jalisco,Guadalajara,Guadalajara,Colonia,Monumental
44329,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Belisario Domínguez
44330,Jalisco,Guadalajara,Guadalajara,Colonia,Circunvalación Belisario
44330,Jalisco,Guadalajara,Guadalajara,Colonia,San Marcos Oriente
44330,Jalisco,Guadalajara,Guadalajara,Colonia,San Vicente
44330,Jalisco,Guadalajara,Guadalajara,Colonia,Vicente Guerrero
44330,Jalisco,Guadalajara,Guadalajara,Colonia,San Marcos Poniente
44340,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Independencia Oriente
44350,Jalisco,Guadalajara,Guadalajara,Colonia,Postes Cuates (Federalismo)
44350,Jalisco,Guadalajara,Guadalajara,Colonia,Santa María
44350,Jalisco,Guadalajara,Guadalajara,Colonia,Lomas Independencia
44350,Jalisco,Guadalajara,Guadalajara,Colonia,Santa María Oriente
44360,Jalisco,Guadalajara,Guadalajara,Colonia,La Perla
44360,Jalisco,Guadalajara,Guadalajara,Barrio,San Juan de Dios
44360,Jalisco,Guadalajara,Guadalajara,Colonia,La Natividad
44360,Jalisco,Guadalajara,Guadalajara,Barrio,Sagrado Corazón
44370,Jalisco,Guadalajara,Guadalajara,Colonia,El Mirador
44370,Jalisco,Guadalajara,Guadalajara,Barrio,San Ramón
44380,Jalisco,Guadalajara,Guadalajara,Barrio,San Felipe
44390,Jalisco,Guadalajara,Guadalajara,Pueblo,Huentitán El Alto
44390,Jalisco,Guadalajara,Guadalajara,Colonia,San Miguel de Huentitán El Alto 3a Secc
44390,Jalisco,Guadalajara,Guadalajara,Colonia,La Joyita
44390,Jalisco,Guadalajara,Guadalajara,Conjunto habitacional,Real de Huentitán
44390,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Balcones de La Joya
44390,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Rinconada de Huentitán
44395,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,INFONAVIT El Verde
44398,Jalisco,Guadalajara,Guadalajara,Colonia,Colinas de Huentitán
44399,Jalisco,Guadalajara,Guadalajara,Colonia,Dr. Atl
44399,Jalisco,Guadalajara,Guadalajara,Colonia,Altavista de Guadalajara
44399,Jalisco,Guadalajara,Guadalajara,Colonia,Villas de La Barranca
44400,Jalisco,Guadalajara,Guadalajara,Colonia,Gral. Real
44400,Jalisco,Guadalajara,Guadalajara,Colonia,Revolución
44400,Jalisco,Guadalajara,Guadalajara,Barrio,La Divina Providencia
44400,Jalisco,Guadalajara,Guadalajara,Colonia,Real
44410,Jalisco,Guadalajara,Guadalajara,Colonia,La Loma
44410,Jalisco,Guadalajara,Guadalajara,Colonia,Medrano
44419,Jalisco,Guadalajara,Guadalajara,Colonia,Hernández Romo
44420,Jalisco,Guadalajara,Guadalajara,Colonia,Obrera
44420,Jalisco,Guadalajara,Guadalajara,Colonia,Unidad Modelo
44420,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Valentín Gómez Farías
44430,Jalisco,Guadalajara,Guadalajara,Colonia,González Gallo
44430,Jalisco,Guadalajara,Guadalajara,Colonia,Olímpica
44430,Jalisco,Guadalajara,Guadalajara,Colonia,El Periodista
44430,Jalisco,Guadalajara,Guadalajara,Colonia,Quinta Velarde
44438,Jalisco,Guadalajara,Guadalajara,Colonia,Dólar
44440,Jalisco,Guadalajara,Guadalajara,Colonia,El Dean
44440,Jalisco,Guadalajara,Guadalajara,Colonia,Ferrocarril
44440,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Valle Del Álamo
44440,Jalisco,Guadalajara,Guadalajara,Ampliación,Valle Del Álamo
44450,Jalisco,Guadalajara,Guadalajara,Barrio,Analco
44460,Jalisco,Guadalajara,Guadalajara,Colonia,La Aurora
44460,Jalisco,Guadalajara,Guadalajara,Barrio,Las Conchas
44460,Jalisco,Guadalajara,Guadalajara,Barrio,San Carlos
44467,Jalisco,Guadalajara,Guadalajara,Colonia,Rincón de Agua Azul
44469,Jalisco,Guadalajara,Guadalajara,Colonia,Barragán y Hernández
44470,Jalisco,Guadalajara,Guadalajara,Colonia,Higuerillas 1a Secc
44470,Jalisco,Guadalajara,Guadalajara,Colonia,Higuerillas 2a Secc
44470,Jalisco,Guadalajara,Guadalajara,Colonia,La Nogalera
44470,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,El Manantial
44490,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Lázaro Cárdenas
44490,Jalisco,Guadalajara,Guadalajara,Zona industrial,Parque Industrial El Álamo
44493,Jalisco,Guadalajara,Guadalajara,Colonia,Las Juntas
44500,Jalisco,Guadalajara,Guadalajara,Colonia,Arcos Sur
44500,Jalisco,Guadalajara,Guadalajara,Colonia,Vallarta Sur
44500,Jalisco,Guadalajara,Guadalajara,Colonia,Jardines de los Arcos
44500,Jalisco,Guadalajara,Guadalajara,Colonia,Chapalita
44500,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Residencial Chapalita
44500,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Campo de Polo Chapalita
44509,Jalisco,Guadalajara,Guadalajara,Colonia,Vallarta Cuauhtémoc
44510,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Jardines de Plaza Del Sol
44510,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Juan Diego
44510,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Residencial Del Bosque
44520,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Jardines del Bosque Centro
44520,Jalisco,Guadalajara,Guadalajara,Colonia,Jardines del Bosque Norte
44530,Jalisco,Guadalajara,Guadalajara,Zona comercial,Comercial Abastos
44530,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Bertha Cuervo de Jaredo
44530,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Margal
44530,Jalisco,Guadalajara,Guadalajara,Zona comercial,Mercado de Abastos
44530,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Rincón Del Bosque
44535,Jalisco,Guadalajara,Guadalajara,Colonia,Villa La Victoria
44538,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Rinconada de La Victoria
44540,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Perla Real
44540,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Bosques de La Victoria
44540,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Bosques Del Valle
44540,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Jardines del Valle
44549,Jalisco,Guadalajara,Guadalajara,Colonia,Rinconada de La Arboleda
44550,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Verde Valle
44550,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Verde Valle Anexo
44559,Jalisco,Guadalajara,Guadalajara,Colonia,Turquesa
44560,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Residencial Victoria
44580,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Santa Eduwiges
44600,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Ladrón de Guevara
44600,Jalisco,Guadalajara,Guadalajara,Barrio,Santa Teresita
44600,Jalisco,Guadalajara,Guadalajara,Colonia,Villaseñor
44610,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Lomas Del Country
44610,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Country Club
44619,Jalisco,Guadalajara,Guadalajara,Colonia,Villas Del Country
44620,Jalisco,Guadalajara,Guadalajara,Colonia,Ayuntamiento
44620,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Chapultepec Country
44630,Jalisco,Guadalajara,Guadalajara,Colonia,Circunvalación Américas
44630,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Providencia
44635,Jalisco,Guadalajara,Guadalajara,Colonia,Rubio y Corona
44647,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Lomas de Providencia
44648,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Italia Providencia
44650,Jalisco,Guadalajara,Guadalajara,Colonia,Las Américas
44650,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Rojas Ladrón de Guevara
44656,Jalisco,Guadalajara,Guadalajara,Colonia,Jesús Garcia
44657,Jalisco,Guadalajara,Guadalajara,Colonia,Lomas de Guevara
44658,Jalisco,Guadalajara,Guadalajara,Colonia,Italia
44658,Jalisco,Guadalajara,Guadalajara,Colonia,Providencia Sur
44660,Jalisco,Guadalajara,Guadalajara,Colonia,Aldrete
44660,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Colinas de San Javier
44660,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Los Colomos
44660,Jalisco,Guadalajara,Guadalajara,Colonia,Villa de los Colomos
44660,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Colomos Providencia
44665,Jalisco,Guadalajara,Guadalajara,Colonia,Rinconada del Arroyo
44667,Jalisco,Guadalajara,Guadalajara,Colonia,Agraria
44668,Jalisco,Guadalajara,Guadalajara,Condominio,Vista Del Country
44670,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Eulogio Parra
44670,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Monraz
44670,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Prados de Providencia
44670,Jalisco,Guadalajara,Guadalajara,Colonia,Terrazas Monraz
44670,Jalisco,Guadalajara,Guadalajara,Colonia,Lomas del Valle
44678,Jalisco,Guadalajara,Guadalajara,Colonia,Lomas Santa Rita
44679,Jalisco,Guadalajara,Guadalajara,Colonia,Circunvalación Sarcófago
44680,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Circunvalación Guevara
44680,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Circunvalación Vallarta
44680,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Residencial Juan Manuel
44689,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Terranova
44690,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Rinconada Santa Rita
44690,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Vallarta Norte
44690,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Vallarta San Jorge
44690,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Vallarta San Lucas
44690,Jalisco,Guadalajara,Guadalajara,Colonia,Villa Santa Rita
44700,Jalisco,Guadalajara,Guadalajara,Colonia,Guadalajara Oriente
44700,Jalisco,Guadalajara,Guadalajara,Colonia,Oblatos
44700,Jalisco,Guadalajara,Guadalajara,Colonia,Santa Cecilia 1a. sección
44700,Jalisco,Guadalajara,Guadalajara,Colonia,Santa Rosa
44700,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Unidad Río Verde
44700,Jalisco,Guadalajara,Guadalajara,Colonia,Río Verde Oblatos
44700,Jalisco,Guadalajara,Guadalajara,Colonia,Santa Cecilia 2a. Sección
44700,Jalisco,Guadalajara,Guadalajara,Colonia,Santa Cecilia 3a. Sección
44710,Jalisco,Guadalajara,Guadalajara,Colonia,Popular
44710,Jalisco,Guadalajara,Guadalajara,Colonia,San Martín
44710,Jalisco,Guadalajara,Guadalajara,Colonia,San Martín Anexo
44710,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Santos Degollado
44716,Jalisco,Guadalajara,Guadalajara,Colonia,Circunvalación Oblatos
44719,Jalisco,Guadalajara,Guadalajara,Colonia,Talpita Oriente
44719,Jalisco,Guadalajara,Guadalajara,Colonia,Talpita Poniente
44719,Jalisco,Guadalajara,Guadalajara,Colonia,Ampliación Talpita
44720,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Arandas
44720,Jalisco,Guadalajara,Guadalajara,Colonia,Balcones de Oblatos
44720,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Bethel
44720,Jalisco,Guadalajara,Guadalajara,Colonia,Heliodoro Hernández Loza 1a Secc
44720,Jalisco,Guadalajara,Guadalajara,Colonia,Heliodoro Hernández Loza 2a Secc
44720,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Lomas de Oblatos 1a Secc
44720,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Lomas de Oblatos 2a Secc
44720,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,San José Río Verde 2a. Sección
44720,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Lomas de San Eugenio
44720,Jalisco,Guadalajara,Guadalajara,Colonia,Villas de Guadalupe
44723,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Plutarco Elias Calles 1
44724,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,San Eugenio
44724,Jalisco,Guadalajara,Guadalajara,Colonia,San Eugenio
44725,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Plutarco Elias Calles 2
44726,Jalisco,Guadalajara,Guadalajara,Colonia,San José Río Verde 1a. Sección
44727,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Tetlán Rio Verde
44729,Jalisco,Guadalajara,Guadalajara,Colonia,Jardines de La Barranca
44729,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Residencial de La Barranca
44730,Jalisco,Guadalajara,Guadalajara,Colonia,Rinconada San Andres Poniente
44730,Jalisco,Guadalajara,Guadalajara,Colonia,Blanco y Cuellar 1ra.
44730,Jalisco,Guadalajara,Guadalajara,Barrio,Antigua Penal de Oblatos
44730,Jalisco,Guadalajara,Guadalajara,Colonia,Progreso
44730,Jalisco,Guadalajara,Guadalajara,Barrio,San Juan Bosco
44730,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,El Porvenir Unidad Hogar
44730,Jalisco,Guadalajara,Guadalajara,Colonia,Blanco y Cuellar 2da.
44730,Jalisco,Guadalajara,Guadalajara,Colonia,Blanco y Cuellar 3ra.
44737,Jalisco,Guadalajara,Guadalajara,Colonia,Los Mártires
44739,Jalisco,Guadalajara,Guadalajara,Colonia,Las Huertas
44740,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Industria
44740,Jalisco,Guadalajara,Guadalajara,Colonia,Jardines de Guadalupe
44740,Jalisco,Guadalajara,Guadalajara,Colonia,Potrero Alto
44740,Jalisco,Guadalajara,Guadalajara,Colonia,San Isidro
44748,Jalisco,Guadalajara,Guadalajara,Colonia,Esteban Alatorre
44750,Jalisco,Guadalajara,Guadalajara,Colonia,Barajas Villaseñor San Pablo
44750,Jalisco,Guadalajara,Guadalajara,Colonia,Cuauhtémoc Popular
44750,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Cuauhtémoc INFONAVIT
44750,Jalisco,Guadalajara,Guadalajara,Colonia,Libertad
44750,Jalisco,Guadalajara,Guadalajara,Colonia,Santa María de Silo
44755,Jalisco,Guadalajara,Guadalajara,Colonia,Rinconada San Andres
44755,Jalisco,Guadalajara,Guadalajara,Colonia,El Porvenir Oriente
44757,Jalisco,Guadalajara,Guadalajara,Colonia,Los Romo
44760,Jalisco,Guadalajara,Guadalajara,Colonia,Beatriz Hernández
44760,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,El Zalate
44760,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Miguel Hidalgo
44760,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Lomas Del Gallo
44760,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Pablo Valdez
44760,Jalisco,Guadalajara,Guadalajara,Colonia,Ramón López Velarde
44760,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Los Tulipanes
44765,Jalisco,Guadalajara,Guadalajara,Conjunto habitacional,Pablo Valdez
44765,Jalisco,Guadalajara,Guadalajara,Colonia,Ampliación Provincia
44765,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Pablo Valdez
44766,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Los Arrayanes
44766,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Rinconada del Valle
44768,Jalisco,Guadalajara,Guadalajara,Colonia,Joaquín Aarón
44769,Jalisco,Guadalajara,Guadalajara,Colonia,La Campesina
44770,Jalisco,Guadalajara,Guadalajara,Colonia,Hermosa Provincia
44770,Jalisco,Guadalajara,Guadalajara,Colonia,Lagos de Oriente
44770,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,INFONAVIT Benito Juárez
44770,Jalisco,Guadalajara,Guadalajara,Colonia,Benito Juárez
44770,Jalisco,Guadalajara,Guadalajara,Colonia,San Joaquín
44770,Jalisco,Guadalajara,Guadalajara,Colonia,Lagos de Oriente 2a. Sección
44780,Jalisco,Guadalajara,Guadalajara,Colonia,San Miguel de Huentitán El Alto 2a Secc
44790,Jalisco,Guadalajara,Guadalajara,Colonia,Agustín Yáñez
44790,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Jardines de San Francisco
44790,Jalisco,Guadalajara,Guadalajara,Colonia,La Aurora
44790,Jalisco,Guadalajara,Guadalajara,Colonia,La Florida
44790,Jalisco,Guadalajara,Guadalajara,Ampliación,Lagos de Oriente
44790,Jalisco,Guadalajara,Guadalajara,Conjunto habitacional,Versalles
44799,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Javier Mina
44800,Jalisco,Guadalajara,Guadalajara,Colonia,Magaña
44800,Jalisco,Guadalajara,Guadalajara,Colonia,San Antonio
44810,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Europa
44810,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Electricistas
44810,Jalisco,Guadalajara,Guadalajara,Colonia,Hormiguero
44810,Jalisco,Guadalajara,Guadalajara,Colonia,Residencial Del Parque
44810,Jalisco,Guadalajara,Guadalajara,Colonia,Residencial San Andrés
44810,Jalisco,Guadalajara,Guadalajara,Colonia,San Andrés
44810,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,San Andrés Gigantes
44810,Jalisco,Guadalajara,Guadalajara,Colonia,San Rafael
44810,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,INFONAVIT San Rafael
44810,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,San Rafael
44810,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Lomas de Revolución
44810,Jalisco,Guadalajara,Guadalajara,Colonia,San Andrés 1a. Sección
44810,Jalisco,Guadalajara,Guadalajara,Colonia,San Andrés 2a. Sección
44815,Jalisco,Guadalajara,Guadalajara,Colonia,Jardines de los Escritores
44817,Jalisco,Guadalajara,Guadalajara,Conjunto habitacional,San Rafael 2
44818,Jalisco,Guadalajara,Guadalajara,Colonia,Plan de Ayala
44820,Jalisco,Guadalajara,Guadalajara,Colonia,Aldama Tetlán
44820,Jalisco,Guadalajara,Guadalajara,Colonia,Insurgentes 1a Secc
44820,Jalisco,Guadalajara,Guadalajara,Colonia,Insurgentes 2a Secc
44820,Jalisco,Guadalajara,Guadalajara,Colonia,Insurgentes 3a Secc
44820,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Jardines de los Historiadores
44820,Jalisco,Guadalajara,Guadalajara,Colonia,Jardines de los Poetas
44820,Jalisco,Guadalajara,Guadalajara,Colonia,Los Obeliscos
44820,Jalisco,Guadalajara,Guadalajara,Colonia,Tetlán
44820,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Parques Del Nilo
44820,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Dioses Del Nilo
44820,Jalisco,Guadalajara,Guadalajara,Colonia,Insurgentes La Presa
44820,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,2001
44820,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Tetlán I
44820,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Tetlán II
44820,Jalisco,Guadalajara,Guadalajara,Colonia,Villas de la Presa
44824,Jalisco,Guadalajara,Guadalajara,Colonia,Villas Del Nilo
44824,Jalisco,Guadalajara,Guadalajara,Conjunto habitacional,Florencia
44825,Jalisco,Guadalajara,Guadalajara,Colonia,Parques de San Pedro
44825,Jalisco,Guadalajara,Guadalajara,Colonia,Popular Hornos
44827,Jalisco,Guadalajara,Guadalajara,Colonia,El Barro
